employee_id,first_name,last_name,gender,email,department,designation,manager_name,manager_id,manager_email,attendance,salary
65,Jean,Hinchcliffe,Male,jhinchcliffe1s@wikimedia.org,HR,Associate,Katalina Claes,MGR321,gnewtown4@yolasite.com,present,"$72,807.56 "
89,Martina,Hartropp,Male,mhartropp2g@tumblr.com,Engineering,Associate,Katalina Claes,MGR321,gnewtown4@yolasite.com,present,"$66,441.09 "
135,Kynthia,Skirvane,Genderfluid,kskirvane3q@shutterfly.com,Sales,Associate,Katalina Claes,MGR321,gnewtown4@yolasite.com,present,"$78,332.47 "
149,Ralf,Sanney,Female,rsanney44@economist.com,Finance,Associate,Katalina Claes,MGR321,gnewtown4@yolasite.com,present,"$61,784.61 "
168,Susann,Reskelly,Female,sreskelly4n@thetimes.co.uk,Finance,Associate,Katalina Claes,MGR321,gnewtown4@yolasite.com,present,"$75,903.28 "
233,Norton,McLeish,Male,nmcleish6g@wiley.com,Sales,Associate,Katalina Claes,MGR321,gnewtown4@yolasite.com,absent,"$64,815.22 "
255,Dominique,Enbury,Female,denbury72@de.vu,HR,Associate,Katalina Claes,MGR321,gnewtown4@yolasite.com,present,"$70,327.95 "
283,Chadwick,Millbank,Male,cmillbank7u@nsw.gov.au,HR,Associate,Katalina Claes,MGR321,gnewtown4@yolasite.com,present,"$62,661.49 "
301,Jock,Given,Non-binary,jgiven8c@gov.uk,HR,Associate,Katalina Claes,MGR321,gnewtown4@yolasite.com,present,"$73,107.88 "
311,Aura,Stoneham,Female,astoneham8m@japanpost.jp,Marketing,Associate,Katalina Claes,MGR321,gnewtown4@yolasite.com,absent,"$67,926.44 "
519,Estrella,Sessions,Female,esessionsee@baidu.com,Sales,Associate,Katalina Claes,MGR321,gnewtown4@yolasite.com,present,"$79,554.19 "
563,Lynda,Duffield,Female,lduffieldfm@spotify.com,Support,Associate,Katalina Claes,MGR321,gnewtown4@yolasite.com,absent,"$65,647.83 "
585,Isabeau,Benoix,Female,ibenoixg8@dagondesign.com,Sales,Associate,Katalina Claes,MGR321,gnewtown4@yolasite.com,absent,"$71,475.21 "
667,Leta,Raeburn,Male,lraeburnii@istockphoto.com,HR,Associate,Katalina Claes,MGR321,gnewtown4@yolasite.com,present,"$60,980.64 "
798,Gunilla,Limrick,Female,glimrickm5@jimdo.com,Support,Associate,Katalina Claes,MGR321,gnewtown4@yolasite.com,absent,"$76,129.53 "
872,Geordie,Fowden,Male,gfowdeno7@hubpages.com,Marketing,Associate,Katalina Claes,MGR321,gnewtown4@yolasite.com,absent,"$68,672.70 "
915,Freemon,Aldrich,Male,faldrichpe@icio.us,Operations,Associate,Katalina Claes,MGR321,gnewtown4@yolasite.com,absent,"$74,860.37 "
244,Baldwin,Steuart,Female,bsteuart6r@va.gov,Engineering,Associate,Willamina Mattioni,MGR456,wmattioni5@hc360.com,present,"$63,215.48 "
261,Odelle,Isenor,Male,oisenor78@cnet.com,Marketing,Associate,Willamina Mattioni,MGR456,wmattioni5@hc360.com,absent,"$77,994.72 "
319,Angelico,Lanchbury,Male,alanchbury8u@amazon.de,Finance,Associate,Willamina Mattioni,MGR456,wmattioni5@hc360.com,absent,"$69,458.14 "
327,Jan,Capner,Male,jcapner92@goo.ne.jp,Engineering,Associate,Willamina Mattioni,MGR456,wmattioni5@hc360.com,absent,"$72,394.89 "
329,Kiri,Galway,Male,kgalway94@earthlink.net,Support,Associate,Willamina Mattioni,MGR456,wmattioni5@hc360.com,present,"$66,095.37 "
525,Toby,Thursby,Male,tthursbyek@jimdo.com,Sales,Associate,Willamina Mattioni,MGR456,wmattioni5@hc360.com,present,"$78,719.55 "
558,Boycey,Draxford,Female,bdraxfordfh@ucsd.edu,Marketing,Associate,Willamina Mattioni,MGR456,wmattioni5@hc360.com,present,"$61,509.84 "
592,Dreddy,Tanti,Male,dtantigf@icq.com,Sales,Associate,Willamina Mattioni,MGR456,wmattioni5@hc360.com,absent,"$75,267.41 "
771,Karita,Duffus,Female,kduffusle@salon.com,HR,Associate,Willamina Mattioni,MGR456,wmattioni5@hc360.com,present,"$64,996.02 "
105,Edwina,Sutherland,Male,esutherland2w@bizjournals.com,Support,Associate,Christine Getsham,MGR579,cgetshamp@cbsnews.com,present,"$70,781.33 "
108,Merralee,Shallcrass,Female,mshallcrass2z@umich.edu,Support,Associate,Christine Getsham,MGR579,cgetshamp@cbsnews.com,absent,"$62,340.77 "
157,Kirby,Tidcombe,Female,ktidcombe4c@who.int,Operations,Associate,Christine Getsham,MGR579,cgetshamp@cbsnews.com,present,"$73,528.66 "
280,Sibby,Osant,Male,sosant7r@google.ca,Finance,Associate,Christine Getsham,MGR579,cgetshamp@cbsnews.com,absent,"$67,132.90 "
324,Ira,Windeatt,Female,iwindeatt8z@photobucket.com,Operations,Associate,Christine Getsham,MGR579,cgetshamp@cbsnews.com,present,"$79,776.88 "
419,Clarance,Lappin,Male,clappinbm@va.gov,Engineering,Associate,Christine Getsham,MGR579,cgetshamp@cbsnews.com,absent,"$65,371.24 "
436,Mehetabel,Staining,Female,mstainingc3@naver.com,Marketing,Associate,Christine Getsham,MGR579,cgetshamp@cbsnews.com,present,"$71,844.57 "
457,Selig,Piddocke,Female,spiddockeco@dedecms.com,HR,Associate,Christine Getsham,MGR579,cgetshamp@cbsnews.com,absent,"$60,691.22 "
481,Annabel,Rumming,Female,arummingdc@economist.com,Engineering,Associate,Christine Getsham,MGR579,cgetshamp@cbsnews.com,present,"$76,457.89 "
742,Joyous,Vynoll,Female,jvynollkl@slate.com,Operations,Associate,Christine Getsham,MGR579,cgetshamp@cbsnews.com,present,"$68,288.63 "
71,Alex,Vowells,Male,avowells1y@earthlink.net,Finance,Associate,Rosy Edwin,MGR642,redwinu@edublogs.org,absent,"$74,095.16 "
115,Mollie,Ryal,Female,mryal36@samsung.com,HR,Associate,Rosy Edwin,MGR642,redwinu@edublogs.org,absent,"$63,654.91 "
632,Sean,Batterson,Female,sbattersonhj@patch.com,HR,Associate,Rosy Edwin,MGR642,redwinu@edublogs.org,absent,"$77,338.28 "
982,Kristoffer,Hanmer,Female,khanmerr9@icio.us,HR,Associate,Rosy Edwin,MGR642,redwinu@edublogs.org,absent,"$69,891.44 "
38,Alex,Arnett,Male,aarnett11@sfgate.com,Finance,Associate,Merle Glantz,MGR654,mglantz9@aol.com,absent,"$72,661.18 "
43,Hillary,Doggerell,Male,hdoggerell16@wikipedia.org,Sales,Associate,Merle Glantz,MGR654,mglantz9@aol.com,absent,"$66,518.80 "
46,Rafaellle,Grent,Male,rgrent19@noaa.gov,HR,Associate,Merle Glantz,MGR654,mglantz9@aol.com,absent,"$78,143.65 "
57,Stephenie,Zumbusch,Female,szumbusch1k@fema.gov,Marketing,Associate,Merle Glantz,MGR654,mglantz9@aol.com,absent,"$61,256.73 "
98,Madeline,Benedidick,Male,mbenedidick2p@dion.ne.jp,Support,Associate,Merle Glantz,MGR654,mglantz9@aol.com,present,"$75,620.92 "
103,Jo-anne,Semorad,Female,jsemorad2u@cyberchimps.com,HR,Associate,Merle Glantz,MGR654,mglantz9@aol.com,absent,"$64,437.58 "
116,Verene,Latchmore,Female,vlatchmore37@angelfire.com,HR,Associate,Merle Glantz,MGR654,mglantz9@aol.com,absent,"$70,214.79 "
120,Eleen,Rintoul,Female,erintoul3b@sitemeter.com,Engineering,Associate,Merle Glantz,MGR654,mglantz9@aol.com,absent,"$62,903.41 "
136,Wernher,Duprey,Female,wduprey3r@tiny.cc,Sales,Associate,Merle Glantz,MGR654,mglantz9@aol.com,present,"$73,904.50 "
250,Danit,Kemmons,Female,dkemmons6x@phoca.cz,Sales,Associate,Merle Glantz,MGR654,mglantz9@aol.com,absent,"$67,701.35 "
276,Erin,O'Hannigan,Bigender,eohannigan7n@goo.ne.jp,Engineering,Associate,Merle Glantz,MGR654,mglantz9@aol.com,absent,"$79,068.11 "
348,Egbert,Gearty,Male,egearty9n@wunderground.com,HR,Associate,Merle Glantz,MGR654,mglantz9@aol.com,present,"$65,888.76 "
378,Cathe,Bellany,Male,cbellanyah@xinhuanet.com,Sales,Associate,Merle Glantz,MGR654,mglantz9@aol.com,absent,"$71,102.98 "
439,Maude,Bau,Female,mbauc6@icio.us,Support,Associate,Merle Glantz,MGR654,mglantz9@aol.com,absent,"$60,553.17 "
472,Issiah,de Nore,Male,ided3@prlog.org,Engineering,Associate,Merle Glantz,MGR654,mglantz9@aol.com,present,"$76,973.26 "
479,Flory,Paddell,Female,fpaddellda@themeforest.net,Finance,Associate,Merle Glantz,MGR654,mglantz9@aol.com,present,"$68,045.39 "
541,Julissa,Halling,Male,jhallingf0@epa.gov,Engineering,Associate,Merle Glantz,MGR654,mglantz9@aol.com,absent,"$74,647.80 "
544,Emlynn,Hackelton,Non-binary,ehackeltonf3@dion.ne.jp,HR,Associate,Merle Glantz,MGR654,mglantz9@aol.com,present,"$63,328.66 "
554,Drake,Bretherick,Female,dbretherickfd@smugmug.com,Finance,Associate,Merle Glantz,MGR654,mglantz9@aol.com,present,"$77,820.54 "
570,Thorsten,Skene,Female,tskeneft@fda.gov,Sales,Associate,Merle Glantz,MGR654,mglantz9@aol.com,present,"$69,276.93 "
642,Rosmunda,Haydon,Male,rhaydonht@webs.com,Engineering,Associate,Merle Glantz,MGR654,mglantz9@aol.com,present,"$72,949.71 "
750,Osbourn,Pudsey,Male,opudseykt@hibu.com,Support,Associate,Merle Glantz,MGR654,mglantz9@aol.com,present,"$66,889.12 "
780,Alford,Trevan,Male,atrevanln@npr.org,Sales,Associate,Merle Glantz,MGR654,mglantz9@aol.com,present,"$78,514.08 "
27,Merle,Brabender,Male,mbrabenderq@163.com,Support,Associate,Cassaundra Binnes,MGR789,cbinnes3@shutterfly.com,present,"$61,871.43 "
76,Venita,McInility,Male,vmcinility23@xing.com,Operations,Associate,Cassaundra Binnes,MGR789,cbinnes3@shutterfly.com,present,"$75,084.67 "
158,Pietra,Tabourin,Male,ptabourin4d@reddit.com,Engineering,Associate,Cassaundra Binnes,MGR789,cbinnes3@shutterfly.com,absent,"$64,729.31 "
356,Nalani,Bennetts,Male,nbennetts9v@friendfeed.com,Marketing,Associate,Cassaundra Binnes,MGR789,cbinnes3@shutterfly.com,present,"$70,668.40 "
361,Torrey,Knutsen,Male,tknutsena0@t-online.de,Operations,Associate,Cassaundra Binnes,MGR789,cbinnes3@shutterfly.com,absent,"$62,482.15 "
369,Brianne,Bradforth,Female,bbradfortha8@1688.com,Marketing,Associate,Cassaundra Binnes,MGR789,cbinnes3@shutterfly.com,absent,"$73,355.27 "
498,Robbyn,Mutter,Male,rmutterdt@digg.com,Sales,Associate,Cassaundra Binnes,MGR789,cbinnes3@shutterfly.com,absent,"$67,460.51 "
531,Diane-marie,Tamblingson,Female,dtamblingsoneq@toplist.cz,Engineering,Associate,Cassaundra Binnes,MGR789,cbinnes3@shutterfly.com,absent,"$79,402.37 "
537,Renard,Rowsell,Male,rrowsellew@ebay.co.uk,Engineering,Associate,Cassaundra Binnes,MGR789,cbinnes3@shutterfly.com,present,"$65,224.90 "
595,Edgar,Netherwood,Agender,enetherwoodgi@kickstarter.com,HR,Associate,Cassaundra Binnes,MGR789,cbinnes3@shutterfly.com,present,"$71,731.64 "
596,Orel,Lynskey,Male,olynskeygj@sfgate.com,Sales,Associate,Cassaundra Binnes,MGR789,cbinnes3@shutterfly.com,absent,"$60,841.95 "
655,Brady,Tiron,Male,btironi6@china.com.cn,Engineering,Associate,Cassaundra Binnes,MGR789,cbinnes3@shutterfly.com,absent,"$76,244.71 "
719,Ira,McKniely,Female,imcknielyjy@dailymotion.com,Operations,Associate,Cassaundra Binnes,MGR789,cbinnes3@shutterfly.com,present,"$68,583.20 "
736,Aleen,Swadon,Bigender,aswadonkf@github.com,HR,Associate,Cassaundra Binnes,MGR789,cbinnes3@shutterfly.com,present,"$74,471.58 "
763,Nert,Rames,Male,nramesl6@blog.com,Finance,Associate,Cassaundra Binnes,MGR789,cbinnes3@shutterfly.com,present,"$63,978.04 "
809,Margarethe,Attewill,Male,mattewillmg@photobucket.com,Operations,Associate,Cassaundra Binnes,MGR789,cbinnes3@shutterfly.com,absent,"$77,113.97 "
879,Nev,Tebbit,Male,ntebbitoe@discovery.com,Engineering,Associate,Cassaundra Binnes,MGR789,cbinnes3@shutterfly.com,present,"$69,733.15 "
908,Enrichetta,Strelitzki,Male,estrelitzkip7@instagram.com,Engineering,Associate,Cassaundra Binnes,MGR789,cbinnes3@shutterfly.com,present,"$72,250.46 "
84,Joaquin,Domegan,Male,jdomegan2b@ft.com,HR,Associate,Marabel Stogill,MGR813,mstogillb@cam.ac.uk,absent,"$66,620.28 "
93,Elene,Thinn,Bigender,ethinn2k@ca.gov,Support,Associate,Marabel Stogill,MGR813,mstogillb@cam.ac.uk,absent,"$78,002.91 "
211,Rosamond,De Mitris,Male,rde5u@ehow.com,Engineering,Associate,Marabel Stogill,MGR813,mstogillb@cam.ac.uk,present,"$61,624.37 "
258,Tine,Adlem,Male,tadlem75@disqus.com,Operations,Associate,Marabel Stogill,MGR813,mstogillb@cam.ac.uk,present,"$75,762.54 "
286,Konrad,Blois,Male,kblois7x@nationalgeographic.com,Engineering,Associate,Marabel Stogill,MGR813,mstogillb@cam.ac.uk,present,"$64,142.83 "
437,Gaultiero,Dawdry,Male,gdawdryc4@phpbb.com,Marketing,Associate,Marabel Stogill,MGR813,mstogillb@cam.ac.uk,present,"$70,993.77 "
450,Greta,Rossetti,Male,grossettich@yandex.ru,Operations,Associate,Marabel Stogill,MGR813,mstogillb@cam.ac.uk,present,"$62,764.52 "
517,Naoma,Penas,Male,npenasec@bing.com,Sales,Associate,Marabel Stogill,MGR813,mstogillb@cam.ac.uk,absent,"$73,690.13 "
648,Zebulon,Playfoot,Genderqueer,zplayfoothz@sourceforge.net,Support,Associate,Marabel Stogill,MGR813,mstogillb@cam.ac.uk,absent,"$67,845.60 "
657,Stefan,MacCleod,Female,smaccleodi8@mozilla.com,HR,Associate,Marabel Stogill,MGR813,mstogillb@cam.ac.uk,absent,"$79,665.42 "
737,Lilia,Dugdale,Male,ldugdalekg@timesonline.co.uk,Operations,Associate,Marabel Stogill,MGR813,mstogillb@cam.ac.uk,present,"$65,559.31 "
787,Lesya,Cattroll,Male,lcattrolllu@ihg.com,Finance,Associate,Marabel Stogill,MGR813,mstogillb@cam.ac.uk,absent,"$71,387.88 "
824,Susana,Canniffe,Male,scanniffemv@sciencedirect.com,Operations,Associate,Marabel Stogill,MGR813,mstogillb@cam.ac.uk,present,"$60,377.24 "
905,Tracey,McKinnon,Female,tmckinnonp4@opera.com,Engineering,Associate,Marabel Stogill,MGR813,mstogillb@cam.ac.uk,present,"$76,590.65 "
949,Bobby,Barracks,Male,bbarracksqc@twitpic.com,Operations,Associate,Marabel Stogill,MGR813,mstogillb@cam.ac.uk,present,"$68,836.79 "
165,Augusto,Lange,Male,alange4k@unblog.fr,Finance,Associate,Micky Sturdey,MGR975,msturdeyw@reference.com,present,"$74,004.26 "
285,Yance,Canfer,Male,ycanfer7w@weather.com,Operations,Associate,Micky Sturdey,MGR975,msturdeyw@reference.com,absent,"$63,547.88 "
566,Sammy,Temperton,Male,stempertonfp@newsvine.com,Support,Associate,Micky Sturdey,MGR975,msturdeyw@reference.com,absent,"$77,452.61 "
645,Orazio,Tregunna,Female,otregunnahw@amazon.de,Support,Associate,Micky Sturdey,MGR975,msturdeyw@reference.com,present,"$69,386.75 "
676,Una,Branscombe,Female,ubranscombeir@yale.edu,Marketing,Associate,Micky Sturdey,MGR975,msturdeyw@reference.com,absent,"$72,738.03 "
818,Hurlee,Teall,Female,hteallmp@vistaprint.com,Sales,Associate,Micky Sturdey,MGR975,msturdeyw@reference.com,absent,"$66,313.44 "
838,Malvina,Panketh,Female,mpankethn9@samsung.com,Engineering,Associate,Micky Sturdey,MGR975,msturdeyw@reference.com,absent,"$78,286.90 "
857,Paton,Leathart,Female,pleathartns@constantcontact.com,Support,Associate,Micky Sturdey,MGR975,msturdeyw@reference.com,present,"$61,947.55 "
884,Andy,Bentzen,Male,abentzenoj@ucoz.ru,Sales,Associate,Micky Sturdey,MGR975,msturdeyw@reference.com,present,"$75,336.12 "
903,Clywd,Girardot,Male,cgirardotp2@senate.gov,Finance,Associate,Micky Sturdey,MGR975,msturdeyw@reference.com,present,"$64,618.77 "
2,Broderic,Jellis,Male,bjellis1@mac.com,Finance,Associate,Shadow Faunch,MGR987,sfaunch0@blogtalkradio.com,present,"$70,442.05 "
42,Nero,Venton,Female,nventon15@cloudflare.com,Engineering,Associate,Shadow Faunch,MGR987,sfaunch0@blogtalkradio.com,present,"$62,228.94 "
47,Adolph,Dodgshon,Male,adodgshon1a@lycos.com,Support,Associate,Shadow Faunch,MGR987,sfaunch0@blogtalkradio.com,absent,"$73,283.49 "
155,Arny,Domel,Female,adomel4a@shareasale.com,Support,Associate,Shadow Faunch,MGR987,sfaunch0@blogtalkradio.com,present,"$67,513.28 "
173,Lily,Canaan,Female,lcanaan4s@addtoany.com,Support,Associate,Shadow Faunch,MGR987,sfaunch0@blogtalkradio.com,absent,"$79,158.66 "
182,Othilie,Cardenosa,Male,ocardenosa51@google.pl,Support,Associate,Shadow Faunch,MGR987,sfaunch0@blogtalkradio.com,present,"$65,793.07 "
249,Gavan,Barhem,Female,gbarhem6w@fastcompany.com,Operations,Associate,Shadow Faunch,MGR987,sfaunch0@blogtalkradio.com,present,"$71,659.12 "
291,Nixie,Mattiello,Male,nmattiello82@prnewswire.com,Finance,Associate,Shadow Faunch,MGR987,sfaunch0@blogtalkradio.com,absent,"$60,705.88 "
401,Bucky,O'Grada,Male,bogradab4@infoseek.co.jp,Finance,Associate,Shadow Faunch,MGR987,sfaunch0@blogtalkradio.com,absent,"$76,018.49 "
508,Arther,Bransden,Female,abransdene3@ehow.com,HR,Associate,Shadow Faunch,MGR987,sfaunch0@blogtalkradio.com,present,"$68,154.63 "
546,Jarret,Tyers,Female,jtyersf5@tumblr.com,Marketing,Associate,Shadow Faunch,MGR987,sfaunch0@blogtalkradio.com,absent,"$74,780.91 "
610,D'arcy,Catford,Male,dcatfordgx@jimdo.com,Operations,Associate,Shadow Faunch,MGR987,sfaunch0@blogtalkradio.com,present,"$63,402.15 "
728,Cam,Scotts,Female,cscottsk7@dagondesign.com,HR,Associate,Shadow Faunch,MGR987,sfaunch0@blogtalkradio.com,absent,"$77,707.36 "
758,Purcell,Smallman,Female,psmallmanl1@shinystat.com,Engineering,Associate,Shadow Faunch,MGR987,sfaunch0@blogtalkradio.com,present,"$69,961.58 "
794,Jasmin,Tratton,Female,jtrattonm1@globo.com,Engineering,Associate,Shadow Faunch,MGR987,sfaunch0@blogtalkradio.com,present,"$72,526.74 "
830,Chet,De la Feld,Male,cden1@foxnews.com,Finance,Associate,Shadow Faunch,MGR987,sfaunch0@blogtalkradio.com,present,"$66,702.81 "
880,Hamid,Phebey,Female,hphebeyof@goodreads.com,Support,Associate,Shadow Faunch,MGR987,sfaunch0@blogtalkradio.com,absent,"$78,627.43 "
933,Terry,Emberton,Male,tembertonpw@prnewswire.com,Operations,Associate,Shadow Faunch,MGR987,sfaunch0@blogtalkradio.com,absent,"$61,308.99 "
78,Mufinella,Mulrooney,Male,mmulrooney25@berkeley.edu,HR,Executive,Cordelia Vosse,MGR123,cvossea7@ucoz.com,present,"$22,633.03 "
150,Josy,Bottjer,Male,jbottjer45@google.de,Support,Executive,Cordelia Vosse,MGR123,cvossea7@ucoz.com,present,"$51,082.72 "
175,Eben,Iacomelli,Male,eiacomelli4u@de.vu,HR,Executive,Cordelia Vosse,MGR123,cvossea7@ucoz.com,absent,"$69,488.51 "
177,Shari,Goadbie,Male,sgoadbie4w@nyu.edu,HR,Executive,Cordelia Vosse,MGR123,cvossea7@ucoz.com,absent,"$89,408.35 "
208,Ursala,Gorse,Female,ugorse5r@adobe.com,Operations,Executive,Cordelia Vosse,MGR123,cvossea7@ucoz.com,present,"$34,621.57 "
293,Nelly,Rozea,Female,nrozea84@pbs.org,Finance,Executive,Cordelia Vosse,MGR123,cvossea7@ucoz.com,present,"$25,412.50 "
449,Minne,Ciciura,Male,mciciuracg@myspace.com,HR,Executive,Cordelia Vosse,MGR123,cvossea7@ucoz.com,absent,"$85,402.53 "
557,Alic,Skippings,Male,askippingsfg@hp.com,Operations,Executive,Cordelia Vosse,MGR123,cvossea7@ucoz.com,present,"$20,644.56 "
647,Valery,Toffel,Female,vtoffelhy@psu.edu,Sales,Executive,Cordelia Vosse,MGR123,cvossea7@ucoz.com,absent,"$98,371.72 "
682,John,D'Alessandro,Male,jdalessandroix@va.gov,Engineering,Executive,Cordelia Vosse,MGR123,cvossea7@ucoz.com,present,"$42,094.57 "
